排名,名称,链接,星级,评分,评价人数
1,肖申克的救赎,https://movie.douban.com/subject/1292052/,5,9.7,2562058
2,霸王别姬,https://movie.douban.com/subject/1291546/,5,9.6,1903106
3,阿甘正传,https://movie.douban.com/subject/1292720/,5,9.5,1924575
4,泰坦尼克号,https://movie.douban.com/subject/1292722/,4.5,9.4,1886275
5,这个杀手不太冷,https://movie.douban.com/subject/1295644/,4.5,9.4,2082003
6,美丽人生,https://movie.douban.com/subject/1292063/,5,9.6,1180780
7,千与千寻,https://movie.douban.com/subject/1291561/,4.5,9.4,2005325
8,辛德勒的名单,https://movie.douban.com/subject/1295124/,5,9.5,985275
9,盗梦空间,https://movie.douban.com/subject/3541415/,4.5,9.4,1847590
10,忠犬八公的故事,https://movie.douban.com/subject/3011091/,4.5,9.4,1265965
11,星际穿越,https://movie.douban.com/subject/1889243/,4.5,9.4,1530625
12,楚门的世界,https://movie.douban.com/subject/1292064/,4.5,9.3,1452461
13,海上钢琴师,https://movie.douban.com/subject/1292001/,4.5,9.3,1500639
14,三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,4.5,9.2,1679548
15,机器人总动员,https://movie.douban.com/subject/2131459/,4.5,9.3,1183498
16,放牛班的春天,https://movie.douban.com/subject/1291549/,4.5,9.3,1168086
17,无间道,https://movie.douban.com/subject/1307914/,4.5,9.3,1175222
18,疯狂动物城,https://movie.douban.com/subject/25662329/,4.5,9.2,1682637
19,大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/,4.5,9.2,1371942
20,熔炉,https://movie.douban.com/subject/5912992/,4.5,9.3,834457
21,教父,https://movie.douban.com/subject/1291841/,4.5,9.3,843015
22,当幸福来敲门,https://movie.douban.com/subject/1849031/,4.5,9.2,1359266
23,控方证人,https://movie.douban.com/subject/1296141/,5,9.6,435960
24,怦然心动,https://movie.douban.com/subject/3319755/,4.5,9.1,1626742
25,龙猫,https://movie.douban.com/subject/1291560/,4.5,9.2,1132026
26,触不可及,https://movie.douban.com/subject/6786002/,4.5,9.3,934164
27,末代皇帝,https://movie.douban.com/subject/1293172/,4.5,9.3,751612
28,寻梦环游记,https://movie.douban.com/subject/20495023/,4.5,9.1,1447010
29,蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/,4.5,9.2,931338
30,活着,https://movie.douban.com/subject/1292365/,4.5,9.3,729871
31,哈利·波特与魔法石,https://movie.douban.com/subject/1295038/,4.5,9.1,1011336
32,指环王3：王者无敌,https://movie.douban.com/subject/1291552/,4.5,9.3,711999
33,乱世佳人,https://movie.douban.com/subject/1300267/,4.5,9.3,615049
34,素媛,https://movie.douban.com/subject/21937452/,4.5,9.3,601021
35,飞屋环游记,https://movie.douban.com/subject/2129039/,4.5,9.1,1183045
36,摔跤吧！爸爸,https://movie.douban.com/subject/26387939/,4.5,9.0,1405661
37,何以为家,https://movie.douban.com/subject/30170448/,4.5,9.1,917048
38,我不是药神,https://movie.douban.com/subject/26752088/,4.5,9.0,1876465
39,十二怒汉,https://movie.douban.com/subject/1293182/,4.5,9.4,419565
40,哈尔的移动城堡,https://movie.douban.com/subject/1308807/,4.5,9.1,892320
41,少年派的奇幻漂流,https://movie.douban.com/subject/1929463/,4.5,9.1,1220860
42,鬼子来了,https://movie.douban.com/subject/1291858/,4.5,9.3,550223
43,大话西游之月光宝盒,https://movie.douban.com/subject/1299398/,4.5,9.0,1093576
44,天空之城,https://movie.douban.com/subject/1291583/,4.5,9.1,736295
45,猫鼠游戏,https://movie.douban.com/subject/1305487/,4.5,9.1,847247
46,天堂电影院,https://movie.douban.com/subject/1291828/,4.5,9.2,613787
47,指环王2：双塔奇兵,https://movie.douban.com/subject/1291572/,4.5,9.2,664080
48,闻香识女人,https://movie.douban.com/subject/1298624/,4.5,9.1,770122
49,罗马假日,https://movie.douban.com/subject/1293839/,4.5,9.1,858206
50,钢琴家,https://movie.douban.com/subject/1296736/,4.5,9.2,522589
51,让子弹飞,https://movie.douban.com/subject/3742360/,4.5,8.9,1479533
52,指环王1：护戒使者,https://movie.douban.com/subject/1291571/,4.5,9.1,751697
53,黑客帝国,https://movie.douban.com/subject/1291843/,4.5,9.1,747810
54,大闹天宫,https://movie.douban.com/subject/1418019/,4.5,9.4,375182
55,辩护人,https://movie.douban.com/subject/21937445/,4.5,9.2,531843
56,海蒂和爷爷,https://movie.douban.com/subject/25958717/,4.5,9.3,460203
57,教父2,https://movie.douban.com/subject/1299131/,4.5,9.2,476151
58,死亡诗社,https://movie.douban.com/subject/1291548/,4.5,9.1,621963
59,狮子王,https://movie.douban.com/subject/1301753/,4.5,9.1,739171
60,绿皮书,https://movie.douban.com/subject/27060077/,4.5,8.9,1415047
61,搏击俱乐部,https://movie.douban.com/subject/1292000/,4.5,9.0,754462
62,饮食男女,https://movie.douban.com/subject/1291818/,4.5,9.2,537821
63,美丽心灵,https://movie.douban.com/subject/1306029/,4.5,9.1,679536
64,本杰明·巴顿奇事,https://movie.douban.com/subject/1485260/,4.5,9.0,875140
65,窃听风暴,https://movie.douban.com/subject/1900841/,4.5,9.2,499494
66,情书,https://movie.douban.com/subject/1292220/,4.5,8.9,944760
67,两杆大烟枪,https://movie.douban.com/subject/1293350/,4.5,9.1,534973
68,穿条纹睡衣的男孩,https://movie.douban.com/subject/3008247/,4.5,9.2,476909
69,西西里的美丽传说,https://movie.douban.com/subject/1292402/,4.5,8.9,868066
70,看不见的客人,https://movie.douban.com/subject/26580232/,4.5,8.8,1100955
71,拯救大兵瑞恩,https://movie.douban.com/subject/1292849/,4.5,9.1,575622
72,飞越疯人院,https://movie.douban.com/subject/1292224/,4.5,9.1,499048
73,音乐之声,https://movie.douban.com/subject/1294408/,4.5,9.1,532752
74,小鞋子,https://movie.douban.com/subject/1303021/,4.5,9.2,361813
75,阿凡达,https://movie.douban.com/subject/1652587/,4.5,8.8,1239563
76,海豚湾,https://movie.douban.com/subject/3442220/,4.5,9.3,329980
77,沉默的羔羊,https://movie.douban.com/subject/1293544/,4.5,8.9,774446
78,哈利·波特与死亡圣器(下),https://movie.douban.com/subject/3011235/,4.5,8.9,718012
79,致命魔术,https://movie.douban.com/subject/1780330/,4.5,8.9,762823
80,禁闭岛,https://movie.douban.com/subject/2334904/,4.5,8.8,852709
81,美国往事,https://movie.douban.com/subject/1292262/,4.5,9.2,366011
82,布达佩斯大饭店,https://movie.douban.com/subject/11525673/,4.5,8.9,804218
83,蝴蝶效应,https://movie.douban.com/subject/1292343/,4.5,8.8,830609
84,心灵捕手,https://movie.douban.com/subject/1292656/,4.5,8.9,628096
85,低俗小说,https://movie.douban.com/subject/1291832/,4.5,8.9,737556
86,春光乍泄,https://movie.douban.com/subject/1292679/,4.5,9.0,556299
87,摩登时代,https://movie.douban.com/subject/1294371/,4.5,9.3,261733
88,七宗罪,https://movie.douban.com/subject/1292223/,4.5,8.8,851086
89,喜剧之王,https://movie.douban.com/subject/1302425/,4.5,8.8,855200
90,致命ID,https://movie.douban.com/subject/1297192/,4.5,8.8,718367
91,杀人回忆,https://movie.douban.com/subject/1300299/,4.5,8.9,612351
92,被嫌弃的松子的一生,https://movie.douban.com/subject/1787291/,4.5,8.9,640114
93,加勒比海盗,https://movie.douban.com/subject/1298070/,4.5,8.8,766426
94,功夫,https://movie.douban.com/subject/1291543/,4.5,8.7,945779
95,红辣椒,https://movie.douban.com/subject/1865703/,4.5,9.0,388010
96,哈利·波特与阿兹卡班的囚徒,https://movie.douban.com/subject/1291544/,4.5,8.9,603509
97,超脱,https://movie.douban.com/subject/5322596/,4.5,9.0,475709
98,狩猎,https://movie.douban.com/subject/6985810/,4.5,9.1,335883
99,请以你的名字呼唤我,https://movie.douban.com/subject/26799731/,4.5,8.9,623179
100,剪刀手爱德华,https://movie.douban.com/subject/1292370/,4.5,8.7,950755
101,7号房的礼物,https://movie.douban.com/subject/10777687/,4.5,8.9,488254
102,勇敢的心,https://movie.douban.com/subject/1294639/,4.5,8.9,516900
103,断背山,https://movie.douban.com/subject/1418834/,4.5,8.8,639565
104,唐伯虎点秋香,https://movie.douban.com/subject/1306249/,4.5,8.7,945840
105,天使爱美丽,https://movie.douban.com/subject/1292215/,4.5,8.7,891570
106,入殓师,https://movie.douban.com/subject/2149806/,4.5,8.9,579409
107,第六感,https://movie.douban.com/subject/1297630/,4.5,8.9,491318
108,幽灵公主,https://movie.douban.com/subject/1297359/,4.5,8.9,470278
109,重庆森林,https://movie.douban.com/subject/1291999/,4.5,8.8,707939
110,爱在黎明破晓前,https://movie.douban.com/subject/1296339/,4.5,8.8,576740
111,小森林 夏秋篇,https://movie.douban.com/subject/25814705/,4.5,9.0,377401
112,哈利·波特与密室,https://movie.douban.com/subject/1296996/,4.5,8.8,629902
113,阳光灿烂的日子,https://movie.douban.com/subject/1291875/,4.5,8.8,548225
114,一一,https://movie.douban.com/subject/1292434/,4.5,9.1,322767
